student;snapshot;c_error;r_error;t_failed;t_success
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_00_32.586Z;0;0;14;22
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_20_35.283Z;0;5;9;27
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_41_43.185Z;0;5;9;27
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_01_19.053Z;0;5;5;31
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_29_35.201Z;1;0;0;17
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T23_06_05.493Z;0;0;14;22
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T23_53_04.009Z;0;1;14;22
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T00_06_02.454Z;0;1;14;22
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T00_44_03.820Z;0;1;10;26
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T01_33_11.077Z;0;5;8;28
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T01_51_41.539Z;0;0;0;36
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T01_56_43.737Z;0;5;8;28
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T02_15_59.767Z;0;5;5;31
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T16_29_08.339Z;0;0;0;36
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T16_48_19.635Z;0;0;3;33
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T17_12_21.339Z;0;0;3;33
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T17_36_08.104Z;0;0;0;34
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T18_16_35.197Z;0;0;2;34
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T19_09_53.940Z;0;0;0;36
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-17T18_21_13.151Z;1;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-17T18_21_36.913Z;0;0;0;13
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-17T18_30_31.289Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-17T18_31_10.677Z;1;0;0;17
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-21T19_11_16.972Z;0;0;13;23
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-21T19_39_43.278Z;0;16;16;20
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-21T21_14_13.685Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-21T21_30_32.260Z;0;5;6;30
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-21T22_58_01.921Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T12_50_43.808Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T13_59_45.026Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T14_55_04.345Z;0;1;9;27
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T15_17_33.929Z;0;1;9;27
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T16_32_38.733Z;0;0;6;30
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T18_11_33.333Z;0;0;6;30
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T19_09_43.328Z;0;0;0;36
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T19_31_41.661Z;0;0;0;36
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T19_33_53.425Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T19_59_30.941Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T20_12_18.542Z;0;0;0;36
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T20_18_10.292Z;0;0;0;36
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-22T20_18_13.890Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-23T15_19_48.559Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-23T15_20_07.791Z;0;0;0;36
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-23T15_53_48.103Z;2;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-11-23T16_09_21.370Z;0;0;0;36
