student;snapshot;c_error;r_error;t_failed;t_success
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T16_20_10.809Z;0;24;29;13
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T16_20_27.408Z;0;24;29;13
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T17_33_09.828Z;1;0;0;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T19_12_06.758Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T20_56_26.842Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T21_11_26.818Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T21_20_06.545Z;0;24;26;16
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T21_38_39.888Z;0;0;0;42
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T21_41_28.788Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T21_52_23.140Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T22_05_32.847Z;0;0;0;42
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T22_21_09.846Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T22_38_27.722Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T22_41_34.190Z;0;0;0;42
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-26T22_45_07.287Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-29T11_46_49.333Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-29T11_47_20.980Z;0;0;0;42
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-29T11_53_54.614Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-29T12_10_06.259Z;0;0;0;42
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-29T12_10_46.977Z;0;0;17;25
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-29T12_11_58.921Z;0;0;17;25
