"student";"snapshot";"datetime"
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T22:32:45.774Z";2020-11-25 22:32:45
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T22:34:21.198Z";2020-11-25 22:34:21
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T22:58:16.086Z";2020-11-25 22:58:16
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T23:13:58.275Z";2020-11-25 23:13:58
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T23:14:45.207Z";2020-11-25 23:14:45
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T23:29:44.121Z";2020-11-25 23:29:44
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T23:33:39.918Z";2020-11-25 23:33:39
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-25T23:36:52.836Z";2020-11-25 23:36:52
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-26T00:26:59.070Z";2020-11-26 00:26:59
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-26T00:27:36.018Z";2020-11-26 00:27:36
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-26T02:19:50.722Z";2020-11-26 02:19:50
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-26T02:46:19.553Z";2020-11-26 02:46:19
"8f44159e06781fa522902f2d7f8f3174706f414e";"2020-11-26T02:51:20.670Z";2020-11-26 02:51:20
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T06:30:50.650Z";2020-11-23 06:30:50
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T06:34:02.111Z";2020-11-23 06:34:02
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T06:34:10.416Z";2020-11-23 06:34:10
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T08:33:57.586Z";2020-11-23 08:33:57
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T20:46:51.047Z";2020-11-23 20:46:51
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T20:47:00.308Z";2020-11-23 20:47:00
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T21:19:56.926Z";2020-11-23 21:19:56
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-23T23:15:13.177Z";2020-11-23 23:15:13
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T02:26:39.683Z";2020-11-24 02:26:39
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T03:05:29.527Z";2020-11-24 03:05:29
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T04:45:56.530Z";2020-11-24 04:45:56
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T07:00:28.311Z";2020-11-24 07:00:28
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T19:10:02.209Z";2020-11-24 19:10:02
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T19:10:10.261Z";2020-11-24 19:10:10
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T19:13:02.205Z";2020-11-24 19:13:02
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T19:18:19.846Z";2020-11-24 19:18:19
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T19:32:27.065Z";2020-11-24 19:32:27
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T20:02:24.909Z";2020-11-24 20:02:24
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T20:09:33.046Z";2020-11-24 20:09:33
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T20:16:25.294Z";2020-11-24 20:16:25
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T20:41:50.713Z";2020-11-24 20:41:50
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T20:49:38.600Z";2020-11-24 20:49:38
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T21:00:24.706Z";2020-11-24 21:00:24
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T21:26:10.238Z";2020-11-24 21:26:10
"91c12a36efaa95f40df93c9135741ad002737546";"2020-11-24T21:30:23.305Z";2020-11-24 21:30:23
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-23T21:09:17.495Z";2020-11-23 21:09:17
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-23T21:09:29.162Z";2020-11-23 21:09:29
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-23T21:13:25.698Z";2020-11-23 21:13:25
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-23T21:14:30.737Z";2020-11-23 21:14:30
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T00:00:41.938Z";2020-11-24 00:00:41
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T00:31:08.578Z";2020-11-24 00:31:08
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T01:05:08.021Z";2020-11-24 01:05:08
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T03:55:40.949Z";2020-11-24 03:55:40
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T04:20:03.056Z";2020-11-24 04:20:03
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T05:19:11.435Z";2020-11-24 05:19:11
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T23:51:24.090Z";2020-11-24 23:51:24
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-24T23:52:28.417Z";2020-11-24 23:52:28
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T01:20:37.115Z";2020-11-25 01:20:37
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T01:51:31.046Z";2020-11-25 01:51:31
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T20:14:07.196Z";2020-11-25 20:14:07
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T20:32:25.836Z";2020-11-25 20:32:25
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T20:56:53.040Z";2020-11-25 20:56:53
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T21:11:33.466Z";2020-11-25 21:11:33
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T21:46:55.944Z";2020-11-25 21:46:55
"91fbcb21c14a7530f2f3ef869853a53622ed7334";"2020-11-25T21:56:25.321Z";2020-11-25 21:56:25
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T01:46:26.852Z";2020-11-18 01:46:26
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T01:46:58.233Z";2020-11-18 01:46:58
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T01:47:07.725Z";2020-11-18 01:47:07
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T01:47:26.045Z";2020-11-18 01:47:26
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T01:47:44.216Z";2020-11-18 01:47:44
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T02:15:08.169Z";2020-11-18 02:15:08
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T02:25:21.974Z";2020-11-18 02:25:21
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-18T02:27:11.925Z";2020-11-18 02:27:11
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-25T09:36:49.910Z";2020-11-25 09:36:49
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-25T11:06:42.872Z";2020-11-25 11:06:42
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-25T11:09:54.310Z";2020-11-25 11:09:54
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T02:19:39.020Z";2020-11-26 02:19:39
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T02:33:05.589Z";2020-11-26 02:33:05
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T02:33:05.607Z";2020-11-26 02:33:05
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T02:33:05.614Z";2020-11-26 02:33:05
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T02:33:05.622Z";2020-11-26 02:33:05
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T02:47:01.531Z";2020-11-26 02:47:01
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T03:13:24.625Z";2020-11-26 03:13:24
"938b2ca6524c5956664ef117537fc37a8acbec18";"2020-11-26T03:14:38.239Z";2020-11-26 03:14:38
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-16T23:49:28.156Z";2020-11-16 23:49:28
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-16T23:49:35.255Z";2020-11-16 23:49:35
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T00:00:36.419Z";2020-11-17 00:00:36
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T00:02:26.421Z";2020-11-17 00:02:26
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T02:30:47.823Z";2020-11-17 02:30:47
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T03:18:52.856Z";2020-11-17 03:18:52
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T03:20:47.583Z";2020-11-17 03:20:47
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T05:22:42.006Z";2020-11-17 05:22:42
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-17T09:56:17.868Z";2020-11-17 09:56:17
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T06:30:35.307Z";2020-11-24 06:30:35
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T06:59:22.619Z";2020-11-24 06:59:22
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T07:29:59.381Z";2020-11-24 07:29:59
