"student";"RED"
"2c590c72ae298d0eb8d06d1eec09a191fb0dd949";0.0
"2d1e7e329d49709107b3cc3a54e79ecd10734d88";0.0
"2d7848bb411c2d1dfe75ddd2c095195b42110776";0.0
"2d8ae2ab222603a73f98853020208a89c7cef84d";0.0
"2e26f875a0ef7b1f5682286d9dd0543997d7c42c";0.0
"2e5d899ce757dacb028d693fd162f019e1d137b9";0.0
"2fcd57e994ce4e99ea705980aa0f47d3307e3ab7";0.0
"3041a53686abd2d37493352be2b24a14c40071a8";0.0
"31581b9b01d2fa566b8c69efc227c6bd676e574e";0.0
"343ccf52c9595fbe9cbe44606f9d7903307e24a3";0.0
"347d33b6e5785dc56109485ce720e361d0a4a675";0.0
"34be5a53134a4e68dae61bf2fac1ba4c91030569";0.5
"36705719323335eb34505b09f49cefde478d0252";0.0
"36e1da1b027e8da8c46ffbb07b0a8d1e7d197a86";0.0
"3822f5f3419d90d1d6abd392e34252539867b977";0.5
"38a2e1976989130b93cd07a1336fb4a7f6d78ccd";2.5
"38da134c1fae87f8777176da8840445f10def983";0.0
"3932b8c4b8eceb9304e1273203288b7344a72e1c";0.5
"39d054a15ed725d77edf691e802c5b3222f42c9f";5.5
"3d5924dc0067c7236dc1c9317ce16d9c52cd3c14";4.5
"3e11348b68914f93fc74cde47fbcf05cc4b2867d";0.0
"3e153ba5e93176a5402d30722e402771b771bf55";0.0
"406d5a7eb8631d2290294c40711318b956ed54fd";0.0
"409cbf4bc16c594da820d29c743f14a10e7919f1";0.0
"4128c27a816942a5871946e8691a7183b59429a9";0.0
"42fe0cd21665026551f4802887b10b11b48e883a";0.5
"432d6f1cb419a77afaef67325d541f506d80cec7";0.0
"43ddbe9de85fe609a1ecc56a76dbcddb0f52d8c1";0.0
"444500e9b1f9ba58a2d0653d8ccdb0cf46debca7";0.0
"4542f79f46c1e57daf32196b082986d08d6addda";0.0
"469ce5ae9862c2ae31c75a1404a8b03af40db5ba";7.0
"4a181b8a0daafd8c1c8b971d48fb20139cc2e58e";1.3333333333333333
"4b1bdce4f691e61e6694450ed8852dd984473389";0.0
"4b8cafbb2f0acbe010290da14340378e9c684d75";0.5
"4be2bd63e16a633b451b15c7c4721b46d35da827";0.5
"4c0e060545d21fcedf84f937c59a97bbc71a69e3";0.0
"4c948f488d593c3e166696d2b6f6347110516450";1.0
"4d304d0fc8d7287703d7e1350a77470f66984e3a";4.5
"4d3e16e24096cd5e30e393ecb9f049662806f603";0.0
"4e6375572baa7b596e96b115bbff4f03ff44ed9a";0.0
