student;snapshot;c_error;r_error;t_failed;t_success
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-05T19_20_42.547Z;0;0;0;1
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-06T08_52_14.007Z;0;0;0;1
04810dc49618a521e56f3207dc85b34ec4e67375;2020-09-14T00_01_11.882Z;0;0;1;0
04810dc49618a521e56f3207dc85b34ec4e67375;2021-01-26T19_31_24.874Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-06T20_56_55.452Z;1;0;0;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-06T20_59_31.494Z;0;0;0;1
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-06T21_11_48.321Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-06T21_12_49.138Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-06T21_15_06.136Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-06T21_17_58.397Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-09T19_14_14.941Z;0;0;0;1
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-09T21_02_56.814Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-10T01_03_48.538Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-10T02_24_30.580Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-10T03_10_50.427Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-10T18_12_28.494Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-10T18_56_31.903Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-11T00_59_30.584Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-11T01_20_13.085Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-13T23_00_30.971Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-13T23_45_42.452Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-14T17_54_32.964Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-14T19_10_53.699Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-14T19_37_27.968Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-22T18_06_01.109Z;0;0;1;0
