HASH_ID,HW00 Grade,HW01 Grade,HW02 Grade,HW03 Grade,HW04 Grade,HW05 Grade,HW06 Grade,HW07 Grade,HW08 Grade,HW09 Grade,HW Avg,Extensions,HW00 Late Days,HW01 Late Days,HW02 Late Days,HW03 Late Days,HW04 Late Days,HW05 Late Days,HW06 Late Days,HW07 Late Days,HW08 Late Days
0c51503c95c50eeaf97615b29561f75e0d6d60c3,98,88,100,96,98,100,80,100,100,,95.55555556,0,0,0,0,1,0,0,2,0,0
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356,0,97,100,98,98,100,98,100,100,,87.88888889,0,0,0,0,0,0,0,0,0,0
e136194611ec53c12b1a683367697ae6bbbc25a9,100,92,100,98,100,94,98,60,70,,90.22222222,0,0,0,0,0,0,0,0,2,2
6d763f06e966f577fbcdec420126b548c6e079f3,100,79,92,91,88,100,100,100,70,,91.11111111,0,0,0,0,0,0,0,0,0,0
713c5dddd704f0ddc8f58ea00009c7aba94363f6,98,92,85,100,94,100,96,94,70,,92.11111111,0,0,0,0,0,0,0,0,0,0
4be2bd63e16a633b451b15c7c4721b46d35da827,90,90,91,97,92,100,28,86,0,,74.88888889,0,0,0,0,2,0,0,7,0,1
e1b5834a6e396f55d9255e1f9f33f66d3a4b6a0f,100,96,99,98,100,100,100,100,100,,99.22222222,0,0,0,0,0,0,0,2,0,0
81db814e40730e5f149c4c26551a6f86ce1b8e64,100,92,99,100,102,100,86,60,100,,93.22222222,0,0,2,0,0,0,0,2,1,0
99802559e72cbc82cce3a1f791d612faeeb5e9ef,100,85,94,100,98,100,100,104,70,,94.55555556,0,0,0,0,1,0,0,0,0,0
6b36b01b915e6699622925a14d422694d6194be0,100,95,100,100,100,100,95,92,70,,94.66666667,0,0,0,0,0,0,0,2,0,0
f2bb2b3fe03f459960fc0f061ca7251557340fd5,100,93,92,98,100,98,97,100,98,,97.33333333,0,0,0,0,0,0,0,2,0,0
ce42cdf26990c18f000612e72044b1c5ec54213f,100,93,92,100,100,100,98,60,70,,90.33333333,2,0,0,0,0,0,0,2,2,0
0f88be4b4d0a31605c539532fce08ed600190170,100,100,94,83.5,98,100,98,60,80,,90.38888889,0,0,0,0,1,0,0,0,0,0
de363e10e402f868d57db34f57576b700edc7c2b,100,100,98,100,93,100,94,96,70,,94.55555556,0,0,0,1,0,0,1,1,0,1
a10b795c0a8f5add8833833866721769c75aa371,100,98,99,96,98,100,100,100,70,,95.66666667,0,0,0,0,0,0,2,2,0,1
3041a53686abd2d37493352be2b24a14c40071a8,98,92.5,95.5,96,100,100,100,100,100,,98,0,0,0,0,0,0,0,0,0,0
782609f05e6b3ee3cc234474e3e072029fc9a9db,100,93,97,100,97,100,100,98,100,,98.33333333,0,0,0,0,0,1,0,1,0,0
d855caf029466d356572dd2ba8ccdebee0e2227e,100,98,99,100,100,98,87,100,70,,94.66666667,0,0,0,0,2,0,0,2,0,0
6507e9a59c7760b7c7d8d0a3a16ba7eeb9e1ba64,96,100,100,100,99,100,95,98,70,,95.33333333,0,0,0,0,0,0,0,1,0,0
66c9b4c37d28677a10b2259a87fcacfd63dbd9a0,100,97,86,100,98,98,98,98,70,,93.88888889,4,0,0,0,0,0,0,1,0,0
2d8ae2ab222603a73f98853020208a89c7cef84d,98,102,100,102,102,100,100,100,100,,100.4444444,0,0,0,0,0,0,0,0,0,0
938b2ca6524c5956664ef117537fc37a8acbec18,100,96,91,98,100,100,91,60,70,,89.55555556,0,0,0,0,0,0,0,2,2,0
fb73ea9cf4691e35b05bfd0192b1ba7f0d2dbc8f,76,93,96,94,96,92,98,100,100,,93.88888889,0,0,0,0,0,0,0,2,0,0
